0
117m 14s (- -118m 46s) 10000 0.5522 17
117m 45s (- -118m 15s) 11000 0.5174 17
118m 15s (- -119m 45s) 12000 0.5008 17
0.0019,0.8509
(0.26055833929849676, 0.014150943396226415)
18
118m 56s (- -119m 10s) 1000 0.6073 18
119m 24s (- -120m 39s) 2000 0.5145 18
119m 52s (- -120m 10s) 3000 0.4689 18
120m 21s (- -121m 40s) 4000 0.5284 18
120m 49s (- -121m 12s) 5000 0.4896 18
121m 16s (- -122m 44s) 6000 0.5289 18
121m 42s (- -122m 18s) 7000 0.5136 18
122m 10s (- -123m 50s) 8000 0.4971 18
122m 37s (- -123m 23s) 9000 0.4553 18
123m 3s (- -124m 56s) 10000 0.5379 18
123m 30s (- -124m 30s) 11000 0.4975 18
123m 56s (- -124m 3s) 12000 0.4903 18
0.0018,0.8257
(0.26055833929849676, 0.01650943396226415)
19
124m 35s (- -125m 32s) 1000 0.5846 19
125m 8s (- -126m 55s) 2000 0.4994 19
125m 36s (- -126m 26s) 3000 0.4464 19
126m 3s (- -127m 58s) 4000 0.5058 19
126m 35s (- -127m 25s) 5000 0.4791 19
127m 7s (- -128m 53s) 6000 0.5178 19
127m 38s (- -128m 22s) 7000 0.4954 19
128m 10s (- -129m 50s) 8000 0.4796 19
128m 42s (- -129m 18s) 9000 0.4437 19
129m 12s (- -130m 48s) 10000 0.5202 19
129m 43s (- -130m 17s) 11000 0.4852 19
130m 15s (- -131m 45s) 12000 0.4767 19
0.0017,0.7821
(0.2691481746599857, 0.02358490566037736)
20
131m 0s (- -131m 7s) 1000 0.5658 20
131m 32s (- -132m 31s) 2000 0.4809 20
132m 3s (- -133m 59s) 3000 0.4303 20
132m 34s (- -133m 27s) 4000 0.4930 20
133m 5s (- -134m 55s) 5000 0.4609 20
133m 37s (- -134m 23s) 6000 0.4972 20
134m 8s (- -135m 53s) 7000 0.4788 20
134m 40s (- -135m 20s) 8000 0.4606 20
135m 10s (- -136m 49s) 9000 0.4278 20
135m 37s (- -136m 23s) 10000 0.5030 20
136m 6s (- -137m 53s) 11000 0.4669 20
136m 34s (- -137m 26s) 12000 0.4574 20
0.0016,0.6782
(0.2791696492483894, 0.02830188679245283)
21
137m 11s (- -138m 56s) 1000 0.5480 21
137m 38s (- -138m 25s) 2000 0.4713 21
138m 4s (- -139m 57s) 3000 0.4220 21
138m 31s (- -139m 30s) 4000 0.4812 21
138m 58s (- -139m 3s) 5000 0.4402 21
139m 25s (- -140m 35s) 6000 0.4796 21
139m 51s (- -140m 9s) 7000 0.4623 21
140m 19s (- -141m 41s) 8000 0.4452 21
140m 46s (- -141m 14s) 9000 0.4142 21
141m 12s (- -142m 48s) 10000 0.4839 21
141m 39s (- -142m 21s) 11000 0.4516 21
142m 6s (- -143m 54s) 12000 0.4405 21
0.0016,0.7407
(0.2755905511811024, 0.02122641509433962)
22
142m 43s (- -143m 24s) 1000 0.5234 22
143m 10s (- -144m 53s) 2000 0.4516 22
143m 36s (- -144m 25s) 3000 0.4084 22
144m 3s (- -145m 58s) 4000 0.4687 22
144m 30s (- -145m 31s) 5000 0.4233 22
144m 57s (- -145m 3s) 6000 0.4692 22
145m 23s (- -146m 37s) 7000 0.4457 22
145m 50s (- -146m 10s) 8000 0.4332 22
146m 18s (- -147m 42s) 9000 0.3996 22
146m 44s (- -147m 15s) 10000 0.4670 22
147m 11s (- -148m 49s) 11000 0.4355 22
147m 38s (- -148m 22s) 12000 0.4274 22
0.0015,0.6532
(0.2877594846098783, 0.018867924528301886)
23
148m 16s (- -149m 52s) 1000 0.5094 23
148m 43s (- -149m 21s) 2000 0.4360 23
149m 9s (- -150m 53s) 3000 0.3969 23
149m 37s (- -150m 24s) 4000 0.4561 23
150m 6s (- -151m 55s) 5000 0.4139 23
150m 34s (- -151m 27s) 6000 0.4520 23
151m 0s (- -151m 1s) 7000 0.4324 23
151m 27s (- -152m 33s) 8000 0.4321 23
151m 54s (- -152m 6s) 9000 0.3987 23
152m 20s (- -153m 40s) 10000 0.4620 23
152m 47s (- -153m 13s) 11000 0.4278 23
153m 13s (- -154m 46s) 12000 0.4170 23
0.0013,0.6209
(0.29062276306370793, 0.01650943396226415)
24
153m 50s (- -154m 18s) 1000 0.4931 24
154m 17s (- -155m 46s) 2000 0.4280 24
154m 44s (- -155m 18s) 3000 0.3858 24
155m 13s (- -156m 48s) 4000 0.4544 24
155m 40s (- -156m 21s) 5000 0.4070 24
156m 7s (- -157m 53s) 6000 0.4387 24
156m 33s (- -157m 27s) 7000 0.4224 24
157m 0s (- -157m 0s) 8000 0.4285 24
157m 28s (- -158m 32s) 9000 0.3836 24
157m 54s (- -158m 6s) 10000 0.4590 24
158m 20s (- -159m 40s) 11000 0.4187 24
158m 47s (- -159m 13s) 12000 0.4051 24
0.0015,0.7527
(0.297780959198282, 0.02122641509433962)
25
159m 24s (- -160m 45s) 1000 0.4779 25
159m 51s (- -160m 13s) 2000 0.4199 25
160m 21s (- -161m 42s) 3000 0.3742 25
160m 47s (- -161m 14s) 4000 0.4309 25
161m 14s (- -162m 47s) 5000 0.3913 25
161m 41s (- -162m 19s) 6000 0.4301 25
162m 8s (- -163m 53s) 7000 0.4117 25
162m 35s (- -163m 26s) 8000 0.4066 25
163m 2s (- -164m 58s) 9000 0.3781 25
163m 28s (- -164m 32s) 10000 0.4294 25
163m 55s (- -164m 5s) 11000 0.3972 25
164m 21s (- -165m 39s) 12000 0.3910 25
0.0014,0.6648
(0.31639226914817464, 0.04009433962264151)
26
164m 58s (- -165m 11s) 1000 0.4610 26
165m 28s (- -166m 36s) 2000 0.4082 26
165m 55s (- -166m 8s) 3000 0.3612 26
166m 21s (- -167m 40s) 4000 0.4159 26
166m 48s (- -167m 13s) 5000 0.3794 26
167m 15s (- -168m 45s) 6000 0.4190 26
167m 42s (- -168m 19s) 7000 0.3949 26
168m 9s (- -169m 51s) 8000 0.3870 26
168m 36s (- -169m 24s) 9000 0.3544 26
169m 2s (- -170m 58s) 10000 0.4175 26
169m 29s (- -170m 31s) 11000 0.3895 26
169m 56s (- -170m 4s) 12000 0.3807 26
0.0014,0.6882
(0.3035075161059413, 0.03537735849056604)
27
170m 38s (- -171m 31s) 1000 0.4455 27
171m 5s (- -172m 59s) 2000 0.3889 27
171m 31s (- -172m 31s) 3000 0.3459 27
171m 58s (- -172m 4s) 4000 0.4012 27
172m 25s (- -173m 36s) 5000 0.3669 27
172m 52s (- -173m 8s) 6000 0.3977 27
173m 18s (- -174m 42s) 7000 0.3825 27
173m 46s (- -174m 15s) 8000 0.3747 27
174m 13s (- -175m 47s) 9000 0.3580 27
174m 39s (- -175m 21s) 10000 0.4011 27
175m 6s (- -176m 54s) 11000 0.3754 27
175m 33s (- -176m 27s) 12000 0.3648 27
0.0013,0.6023
(0.3192555476020043, 0.03773584905660377)
28
176m 13s (- -177m 57s) 1000 0.4330 28
176m 40s (- -177m 24s) 2000 0.3768 28
177m 7s (- -178m 56s) 3000 0.3390 28
177m 34s (- -178m 28s) 4000 0.3954 28
178m 1s (- -178m 0s) 5000 0.3601 28
178m 28s (- -179m 33s) 6000 0.3887 28
178m 54s (- -179m 6s) 7000 0.3695 28
179m 22s (- -180m 39s) 8000 0.3662 28
179m 49s (- -180m 11s) 9000 0.3392 28
180m 15s (- -181m 45s) 10000 0.3948 28
180m 43s (- -181m 17s) 11000 0.3595 28
181m 12s (- -182m 48s) 12000 0.3514 28
0.0013,0.6736
(0.31710808876163205, 0.0330188679245283)
29
181m 49s (- -182m 21s) 1000 0.4190 29
182m 16s (- -183m 48s) 2000 0.3676 29
182m 43s (- -183m 20s) 3000 0.3389 29
183m 9s (- -184m 52s) 4000 0.4162 29
183m 36s (- -184m 25s) 5000 0.3611 29
184m 3s (- -185m 57s) 6000 0.3882 29
184m 29s (- -185m 31s) 7000 0.3611 29
184m 57s (- -185m 4s) 8000 0.3582 29
185m 24s (- -186m 36s) 9000 0.3277 29
185m 51s (- -186m 9s) 10000 0.3772 29
186m 21s (- -187m 39s) 11000 0.3556 29
186m 47s (- -187m 13s) 12000 0.3488 29
0.0012,0.6221
(0.3178239083750895, 0.03773584905660377)
30
187m 24s (- -188m 46s) 1000 0.4077 30
187m 51s (- -188m 13s) 2000 0.3722 30
188m 18s (- -189m 45s) 3000 0.3191 30
188m 45s (- -189m 17s) 4000 0.3746 30
189m 11s (- -190m 50s) 5000 0.3468 30
189m 39s (- -190m 22s) 6000 0.3740 30
190m 5s (- -191m 56s) 7000 0.3506 30
190m 32s (- -191m 28s) 8000 0.3472 30
191m 0s (- -191m 0s) 9000 0.3262 30
191m 29s (- -192m 31s) 10000 0.3683 30
191m 56s (- -192m 4s) 11000 0.3435 30
192m 23s (- -193m 37s) 12000 0.3364 30
0.0011,0.5697
(0.3264137437365784, 0.03537735849056604)
31
192m 59s (- -193m 11s) 1000 0.3935 31
193m 27s (- -194m 38s) 2000 0.3523 31
193m 53s (- -194m 10s) 3000 0.3028 31
194m 20s (- -195m 42s) 4000 0.3704 31
194m 46s (- -195m 15s) 5000 0.3319 31
195m 14s (- -196m 47s) 6000 0.3645 31
195m 40s (- -196m 21s) 7000 0.3396 31
196m 8s (- -197m 53s) 8000 0.3327 31
196m 38s (- -197m 23s) 9000 0.3115 31
197m 4s (- -198m 56s) 10000 0.3621 31
197m 31s (- -198m 29s) 11000 0.3331 31
197m 57s (- -198m 3s) 12000 0.3224 31
0.0010,0.4878
(0.33070866141732286, 0.054245283018867926)
32
198m 34s (- -199m 37s) 1000 0.3807 32
199m 1s (- -199m 4s) 2000 0.3379 32
199m 28s (- -200m 35s) 3000 0.3088 32
